,avgDifficulty,avgRating,department,firstName,id,lastName,legacyId,numRatings,wouldTakeAgainPercent,schoolId,schoolName
527,2.6,4.7,Physics,Stephane,VGVhY2hlci0zNjM2OTM=,Courteau,363693,32,100.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
528,3.1,3.9,Music,Gordon,VGVhY2hlci0zNjQ0NDE=,Smith,364441,7,0.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
529,2.3,3.0,Film,Gary,VGVhY2hlci0zNjQ1NTg=,Kibbins,364558,21,100.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
530,3.6,4.4,Physics,Jordan E,VGVhY2hlci0zNjU4OTE=,Morelli,365891,18,0.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
531,2.2,3.6,Environmental Studies,Louise M,VGVhY2hlci0zNjY3MjU=,Winn,366725,13,100.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
532,3.7,1.8,Physical Ed,Kathy,VGVhY2hlci0zNjk4NjA=,Jackson,369860,6,0.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
533,2.4,4.6,Business,Kathryn,VGVhY2hlci0zNzI5Mzc=,Brohman,372937,14,100.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
534,2.8,3.0,Classics,M Barbara,VGVhY2hlci0zNzQ2ODY=,Reeves,374686,40,100.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
535,3.0,4.9,Business,John C,VGVhY2hlci0zODI0MjE=,Moore,382421,11,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
536,2.6,4.7,French,Catherine,VGVhY2hlci0zOTIwMjQ=,Wells,392024,5,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
537,2.6,2.9,Education,Lynda E,VGVhY2hlci00MDEzMTk=,Colgan,401319,7,0.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
538,3.1,3.9,Chemistry,Donal H,VGVhY2hlci00MDIyMzE=,MacArtney,402231,32,100.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
539,3.6,3.7,French,Elisabeth M,VGVhY2hlci00MDI3NDk=,Zawisza,402749,9,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
540,2.4,4.3,Education,Lesly,VGVhY2hlci00MDI3NTQ=,Wade-Woolley,402754,5,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
541,2.5,2.9,Business,Tanya,VGVhY2hlci00MDUyNTQ=,Levin,405254,14,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
542,1.9,3.8,English,Rahul,VGVhY2hlci00MDkzOTc=,Sapra,409397,16,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
543,2.9,2.9,Business,Susan E,VGVhY2hlci00MDk4OTE=,Brodt,409891,9,0.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
544,2.3,4.8,Business,John C,VGVhY2hlci00MTI5MDM=,Carlson,412903,7,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
545,3.3,3.8,Business,Roger E,VGVhY2hlci00MTQwMDI=,Wright,414002,16,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
546,2.0,3.9,Spanish,Daniel F,VGVhY2hlci00MTYwNzI=,Chamberlain,416072,14,100.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
547,2.0,5.0,Education,Joan E,VGVhY2hlci00MjAxNTI=,McDuff,420152,6,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
548,2.9,4.4,Mathematics,Michael A,VGVhY2hlci00MjkxODc=,Roth,429187,43,100.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
549,3.3,2.5,German,Margrit,VGVhY2hlci00MjkxOTk=,Sixel,429199,4,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
550,3.0,3.8,History,Cheryl,VGVhY2hlci00MjkyMDQ=,Desroches,429204,9,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
